value,date
76094000,1900-01-01
77584000,1901-01-01
79163000,1902-01-01
80632000,1903-01-01
82166000,1904-01-01
83822000,1905-01-01
85450000,1906-01-01
87008000,1907-01-01
88710000,1908-01-01
90490000,1909-01-01
92407000,1910-01-01
93863000,1911-01-01
95335000,1912-01-01
97225000,1913-01-01
99111000,1914-01-01
100546000,1915-01-01
101961000,1916-01-01
103268000,1917-01-01
103208000,1918-01-01
104514000,1919-01-01
106461000,1920-01-01
108538000,1921-01-01
110049000,1922-01-01
111947000,1923-01-01
114109000,1924-01-01
115829000,1925-01-01
117397000,1926-01-01
119035000,1927-01-01
120509000,1928-01-01
121767000,1929-01-01
123076741,1930-01-01
124039648,1931-01-01
124840471,1932-01-01
125578763,1933-01-01
126373773,1934-01-01
127250232,1935-01-01
128053180,1936-01-01
128824829,1937-01-01
129824939,1938-01-01
130879718,1939-01-01
132122446,1940-01-01
133402471,1941-01-01
134859553,1942-01-01
136739353,1943-01-01
138397345,1944-01-01
139928165,1945-01-01
141388566,1946-01-01
144126071,1947-01-01
146631302,1948-01-01
149188130,1949-01-01
152271417,1950-01-01
154877889,1951-01-01
157552740,1952-01-01
160184192,1953-01-01
163025854,1954-01-01
165931202,1955-01-01
168903031,1956-01-01
171984130,1957-01-01
174881904,1958-01-01
177829628,1959-01-01
180671158,1960-01-01
183691481,1961-01-01
186537737,1962-01-01
189241798,1963-01-01
191888791,1964-01-01
194302963,1965-01-01
196560338,1966-01-01
198712056,1967-01-01
200706052,1968-01-01
202676946,1969-01-01
205052174,1970-01-01
207660677,1971-01-01
209896021,1972-01-01
211908788,1973-01-01
213853928,1974-01-01
215973199,1975-01-01
218035164,1976-01-01
220239425,1977-01-01
222584545,1978-01-01
225055487,1979-01-01
227224681,1980-01-01
